filter_name;noise_type;noise_intensity;filter_value;med_chest_ct.jpg;med_chest_xray.jpg;med_hand_xray.jpg;med_head_mr.jpg;med_thorax_ct.jpg;sat_mixed_close_1.jpg;sat_mixed_close_2.jpg;sat_mixed_close_3.jpg;sat_nature_farther_1.jpg;sat_nature_farther_2.jpg;sat_nature_farther_3.jpg;sat_urban_farther_normal_1.jpg;sat_urban_farther_normal_2.jpg;sat_urban_farther_normal_3.jpg
median_filter;gaussian;0_9;5;0,274;0,1589;0,2426;0,3233;0,2652;0,263;0,2692;0,2687;0,3039;0,2022;0,217;0,2342;0,3091;0,2978
median_filter;gaussian;0_9;6;0,2813;0,2188;0,2894;0,3524;0,2742;0,289;0,288;0,2817;0,33;0,2363;0,2558;0,2607;0,3153;0,3026
median_filter;gaussian;0_9;7;0,3237;0,2883;0,3844;0,4056;0,3145;0,3189;0,3096;0,2976;0,3444;0,2482;0,3001;0,2886;0,3268;0,3098
median_filter;gaussian;0_9;8;0,3179;0,3505;0,428;0,4111;0,3116;0,3422;0,323;0,3081;0,347;0,2588;0,2904;0,3055;0,3184;0,3032
median_filter;gaussian;0_9;9;0,3421;0,4125;0,4988;0,4249;0,3335;0,3657;0,3362;0,3177;0,3466;0,259;0,3068;0,3165;0,2958;0,3016
median_filter;gaussian;0_9;10;0,3311;0,4642;0,5339;0,4251;0,326;0,385;0,347;0,3245;0,3406;0,2548;0,3125;0,3115;0,2847;0,2849
ca_median;salt_pepper;0_5;1;0,1926;0,2329;0,294;0,3846;0,2198;0,3151;0,3075;0,3342;0,3452;0,2726;0,2611;0,2649;0,3439;0,3426
ca_median;salt_pepper;0_5;2;0,36;0,7368;0,7913;0,7859;0,411;0,7011;0,645;0,6426;0,6898;0,6546;0,6591;0,6021;0,6501;0,639
ca_median;salt_pepper;0_5;3;0,4241;0,8632;0,9174;0,8631;0,4596;0,7624;0,6798;0,6603;0,7232;0,6952;0,7145;0,6307;0,6655;0,6468
ca_median;salt_pepper;0_5;4;0,465;0,8894;0,9438;0,8712;0,4855;0,7685;0,6789;0,6512;0,7218;0,6935;0,7154;0,6293;0,6554;0,6347
ca_median;salt_pepper;0_5;5;0,4873;0,8958;0,9509;0,8668;0,4983;0,7558;0,6621;0,6307;0,7075;0,6762;0,7035;0,6133;0,6331;0,6086
ca_median;salt_pepper;0_5;6;0,5001;0,8972;0,9535;0,8607;0,5062;0,7459;0,6493;0,6152;0,6955;0,6623;0,693;0,6013;0,6155;0,5892
ca_median;salt_pepper;0_5;7;0,5069;0,8968;0,9538;0,8532;0,5099;0,7334;0,6347;0,5998;0,6825;0,6477;0,6824;0,5886;0,5973;0,5688
ca_median;salt_pepper;0_5;8;0,5115;0,8957;0,9534;0,8461;0,5116;0,724;0,6235;0,5877;0,6715;0,6359;0,6736;0,5787;0,5828;0,5528
ca_median;salt_pepper;0_5;9;0,5141;0,8942;0,9527;0,8394;0,5122;0,7139;0,612;0,576;0,6606;0,6243;0,6653;0,5691;0,5688;0,5369
ca_median;salt_pepper;0_5;10;0,5157;0,8928;0,952;0,8329;0,5126;0,7061;0,603;0,5665;0,6511;0,6149;0,6584;0,5614;0,5573;0,524
ca_median;salt_pepper;0_05;1;0,755;0,9506;0,9758;0,9527;0,7315;0,8508;0,7687;0,7871;0,8172;0,7853;0,8006;0,6982;0,7812;0,7667
ca_median;salt_pepper;0_05;2;0,7736;0,9514;0,9775;0,9414;0,7462;0,8539;0,7769;0,7697;0,8187;0,7892;0,7983;0,7224;0,7712;0,7571
ca_median;salt_pepper;0_05;3;0,7478;0,9441;0,9742;0,9248;0,7137;0,8157;0,728;0,714;0,7774;0,7422;0,7615;0,6725;0,7176;0,6962
ca_median;salt_pepper;0_05;4;0,7375;0,9392;0,9719;0,9122;0,6999;0,7998;0,7076;0,686;0,7572;0,7188;0,7416;0,652;0,6897;0,6665
ca_median;salt_pepper;0_05;5;0,7284;0,9348;0,9696;0,9002;0,688;0,7773;0,6816;0,6573;0,734;0,6934;0,722;0,6288;0,6588;0,6318
ca_median;salt_pepper;0_05;6;0,723;0,9313;0,9677;0,8896;0,681;0,7645;0,666;0,6383;0,7184;0,6759;0,7083;0,6141;0,6381;0,6094
ca_median;salt_pepper;0_05;7;0,7155;0,9276;0,966;0,8801;0,6721;0,7491;0,6485;0,6202;0,7018;0,6586;0,6952;0,5992;0,617;0,5859
ca_median;salt_pepper;0_05;8;0,7086;0,9243;0,9645;0,8725;0,6654;0,7392;0,6367;0,6069;0,6897;0,6456;0,6854;0,5888;0,6016;0,5691
